date,fuel,htt_eur_l
2020-01-06,GAZOLE,0.62767
2020-01-13,GAZOLE,0.63327
2020-01-20,GAZOLE,0.62349
2020-01-27,GAZOLE,0.6104700000000001
2020-02-03,GAZOLE,0.58617
2020-02-10,GAZOLE,0.55989
2020-02-17,GAZOLE,0.55748
2020-02-24,GAZOLE,0.55755
2020-03-02,GAZOLE,0.55052
2020-03-09,GAZOLE,0.5253300000000001
2020-03-16,GAZOLE,0.47525
2020-03-23,GAZOLE,0.43832
2020-03-30,GAZOLE,0.4234
2020-04-06,GAZOLE,0.41677
2020-04-20,GAZOLE,0.40194
2020-04-27,GAZOLE,0.38597000000000004
2020-05-04,GAZOLE,0.36282
2020-05-11,GAZOLE,0.35822000000000004
2020-05-18,GAZOLE,0.35574
2020-05-25,GAZOLE,0.37161
2020-06-01,GAZOLE,0.37872
2020-06-08,GAZOLE,0.38342000000000004
2020-06-15,GAZOLE,0.39852
2020-06-22,GAZOLE,0.40435000000000004
2020-06-29,GAZOLE,0.41617000000000004
2020-07-06,GAZOLE,0.4141
2020-07-13,GAZOLE,0.42592
2020-07-20,GAZOLE,0.42808999999999997
2020-07-27,GAZOLE,0.43042
2020-08-03,GAZOLE,0.42035
2020-08-10,GAZOLE,0.42119
2020-08-17,GAZOLE,0.42149000000000003
2020-08-24,GAZOLE,0.42106
2020-08-31,GAZOLE,0.41413
2020-09-07,GAZOLE,0.40673000000000004
2020-09-14,GAZOLE,0.39876999999999996
2020-09-21,GAZOLE,0.38683
2020-09-28,GAZOLE,0.38645
2020-10-05,GAZOLE,0.38777999999999996
2020-10-12,GAZOLE,0.3907
2020-10-19,GAZOLE,0.39738999999999997
2020-10-26,GAZOLE,0.39012
2020-11-02,GAZOLE,0.39647000000000004
2020-11-09,GAZOLE,0.38822
2020-11-16,GAZOLE,0.40102
2020-11-23,GAZOLE,0.40592
2020-11-30,GAZOLE,0.42283
2020-12-07,GAZOLE,0.42967
2020-12-14,GAZOLE,0.43483999999999995
2020-12-21,GAZOLE,0.44211
2021-01-11,GAZOLE,0.46241000000000004
2021-01-18,GAZOLE,0.48125
2021-01-25,GAZOLE,0.48637
