fuel,factor,effect_column,level,effect_cent_l,provisional_effect_cent_l,raw_effect_cent_l,n_obs,n_stations,confidence,status,constraint_applied,shrinkage_stations,is_active,role
GAZOLE,code_region,region_effect_cent_l,11,3.372947945807964,3.372947945807964,3.6911505822049415,15407,848,HIGH,ESTIMATED,NONE,80.0,True,ACTIVE
GAZOLE,code_region,region_effect_cent_l,24,-0.17046517236765255,-0.17046517236765255,-0.19985571932759263,8105,464,HIGH,ESTIMATED,NONE,80.0,True,ACTIVE
GAZOLE,code_region,region_effect_cent_l,27,1.1083632581423257,1.1083632581423257,1.2332492590597708,12115,710,HIGH,ESTIMATED,NONE,80.0,True,ACTIVE
GAZOLE,code_region,region_effect_cent_l,28,-0.4818604130286807,-0.4818604130286807,-0.5490186587469638,10685,574,HIGH,ESTIMATED,NONE,80.0,True,ACTIVE
GAZOLE,code_region,region_effect_cent_l,32,-0.32107300952386025,-0.32107300952386025,-0.35251222710269603,15239,817,HIGH,ESTIMATED,NONE,80.0,True,ACTIVE
GAZOLE,code_region,region_effect_cent_l,44,0.5850708239832693,0.5850708239832693,0.6370193988097527,16059,901,HIGH,ESTIMATED,NONE,80.0,True,ACTIVE
GAZOLE,code_region,region_effect_cent_l,52,-1.4576669089756813,-1.4576669089756813,-1.667781058017221,10303,555,HIGH,ESTIMATED,NONE,80.0,True,ACTIVE
GAZOLE,code_region,region_effect_cent_l,53,-1.5881657766027524,-1.5881657766027524,-1.818334729733586,10436,552,HIGH,ESTIMATED,NONE,80.0,True,ACTIVE
GAZOLE,code_region,region_effect_cent_l,75,-0.6559423235520604,-0.6559423235520604,-0.7009855732380388,21097,1165,HIGH,ESTIMATED,NONE,80.0,True,ACTIVE
GAZOLE,code_region,region_effect_cent_l,76,0.3434002012318497,0.3434002012318497,0.3674984609674181,20666,1140,HIGH,ESTIMATED,NONE,80.0,True,ACTIVE
GAZOLE,code_region,region_effect_cent_l,84,0.8981750637598794,0.8981750637598794,0.9498685926093688,24555,1390,HIGH,ESTIMATED,NONE,80.0,True,ACTIVE
GAZOLE,code_region,region_effect_cent_l,93,0.43292306309616363,0.43292306309616363,0.47536650065461106,14593,816,HIGH,ESTIMATED,NONE,80.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,01,-0.6143480363180707,-0.6143480363180707,-0.8125248222271257,2180,124,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,02,-0.04352985828072862,-0.04352985828072862,-0.06185821966208804,1686,95,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,03,0.4985788281638965,0.4985788281638965,0.730475957542453,1475,86,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,04,0.5048949328743684,0.5048949328743684,0.8655341706417744,903,56,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,05,-0.2244769796587542,-0.2244769796587542,-0.4332927746901535,798,43,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,06,4.913379324047387,4.913379324047387,6.259510645704205,2577,146,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,07,0.395512592821,0.395512592821,0.6036771153583684,1380,76,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,08,0.12217554752600931,0.12217554752600931,0.21799950636993817,873,51,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,09,0.3605241133800847,0.3605241133800847,0.7846701291213608,656,34,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,10,0.40418305141084154,0.40418305141084154,0.641937787534866,1210,68,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,11,-0.33070272829780795,-0.33070272829780795,-0.48274995969909895,1618,87,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,12,0.1114523538912022,0.1114523538912022,0.1609867333984032,1648,90,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,13,-0.17602832478896788,-0.17602832478896788,-0.20135614130536614,5052,278,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,14,-0.5566384649822091,-0.5566384649822091,-0.7376591040008138,2313,123,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,15,1.1877790400173827,1.1877790400173827,2.1014552246461387,887,52,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,16,-1.0656432386160313,-1.0656432386160313,-1.6834074349151797,1245,69,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,17,-1.6553839025805195,-1.6553839025805195,-2.2165309882010344,2192,118,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,18,0.6711057483832605,0.6711057483832605,1.084093901234498,1139,65,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,19,0.3748782835930879,0.3748782835930879,0.605572611958065,1133,65,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,21,0.054954707069893256,0.054954707069893256,0.07148243851948521,2227,133,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,22,-0.7889692083998592,-0.7889692083998592,-1.0610275561239486,2165,116,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,23,0.5446181867008485,0.5446181867008485,1.1853454651724349,621,34,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,24,0.47166375584450915,0.47166375584450915,0.6603292581823128,1852,100,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,25,0.45362794090885267,0.45362794090885267,0.6248082959687971,1943,106,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,26,-0.8496197354395736,-0.8496197354395736,-1.1328263139194314,2112,120,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,27,-0.25902800419710587,-0.25902800419710587,-0.3658436760309639,1821,97,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,28,-1.2062563508132726,-1.2062563508132726,-1.8328830265604272,1309,77,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
