station_id,persistent_station_bias_raw_cent_l,persistent_bias_months,persistent_bias_observations,persistent_station_bias_cent_l,persistent_bias_confidence,persistence_status,fuel,ville,cp,code_departement,code_region
10000005,1.281850310223105,20,20,0.9860387001716191,HIGH,NORMAL,GAZOLE,Troyes,10000,10,44
10000006,1.1818503102230937,15,15,0.8441787930164955,MEDIUM,NORMAL,GAZOLE,TROYES,10000,10,44
1000001,0.2872771581753941,20,20,0.2209824293656878,HIGH,NORMAL,GAZOLE,SAINT-DENIS-LèS-BOURG,01000,01,84
10000018,9.931850310223098,20,20,7.639884854017767,HIGH,ELEVATED,GAZOLE,TROYES,10000,10,44
10000019,0.2818503102230928,20,20,0.21680793094084064,HIGH,NORMAL,GAZOLE,TROYES,10000,10,44
1000002,-1.1494735477155018,20,20,-0.8842104213196168,HIGH,NORMAL,GAZOLE,BOURG-EN-BRESSE,01000,01,84
10000020,-0.8549003956677919,20,20,-0.6576156889752245,HIGH,NORMAL,GAZOLE,TROYES,10000,10,44
1000004,10.450526452284498,12,12,6.967017634856331,MEDIUM,ELEVATED,GAZOLE,Bourg-en-Bresse,01000,01,84
1000007,-2.5994735477154864,20,20,-1.9995950367042203,HIGH,NORMAL,GAZOLE,Bourg-en-Bresse,01000,01,84
1000008,-2.4127228418246083,20,20,-1.855940647557391,HIGH,NORMAL,GAZOLE,BOURG-EN-BRESSE,01000,01,84
1000009,-2.6127228418246085,20,20,-2.009786801403545,HIGH,NORMAL,GAZOLE,Bourg-en-Bresse,01000,01,84
1000012,9.337277158175397,20,20,7.182520890904152,HIGH,ELEVATED,GAZOLE,SAINT DENIS LES BOURG,01000,01,84
1000013,-1.6127228418246076,20,20,-1.240556032172775,HIGH,NORMAL,GAZOLE,Bourg-en-Bresse,01000,01,84
1000016,-1.5994735477155078,20,20,-1.2303642674734676,HIGH,NORMAL,GAZOLE,Bourg en Bresse,01000,01,84
10100001,-4.136630406052086,19,19,-3.1438391085995856,HIGH,NORMAL,GAZOLE,Romilly-sur-Seine,10100,10,44
10100002,5.562187405798465,20,20,4.27860569676805,HIGH,NORMAL,GAZOLE,Romilly-sur-Seine,10100,10,44
10100003,-3.8866304060520918,20,20,-2.9897156969631475,HIGH,NORMAL,GAZOLE,Romilly-sur-Seine,10100,10,44
10100004,-4.323381111942998,20,20,-3.3256777784176914,HIGH,NORMAL,GAZOLE,Romilly-sur-Seine,10100,10,44
10110001,-0.025745488241877168,20,20,-0.0198042217245209,HIGH,NORMAL,GAZOLE,Bar-sur-Seine,10110,10,44
10110002,-0.9257454882418779,20,20,-0.7121119140322137,HIGH,NORMAL,GAZOLE,Bar-sur-Seine,10110,10,44
10120001,8.745099604332195,20,20,6.72699969564015,HIGH,ELEVATED,GAZOLE,Saint-Germain,10120,10,44
10120004,-0.7549003956678029,20,20,-0.580692612052156,HIGH,NORMAL,GAZOLE,SAINT GERMAIN,10120,10,44
10120006,3.1818503102230964,17,17,2.3518024032083757,MEDIUM,NORMAL,GAZOLE,SAINT ANDRE LES VERGERS,10120,10,44
10123001,-1.2049003956678088,20,20,-0.9268464582060069,HIGH,NORMAL,GAZOLE,Saint-André-les-Vergers,10120,10,44
10130001,4.5162752524635765,17,17,3.338116490951339,MEDIUM,NORMAL,GAZOLE,Ervy-le-Châtel,10130,10,44
10130004,3.092029839137166,20,20,2.378484491643974,HIGH,NORMAL,GAZOLE,AUXON,10130,10,44
10140001,4.167784425810769,17,17,3.0805363147296987,MEDIUM,NORMAL,GAZOLE,VENDEUVRE-SUR-BARSE,10140,10,44
10150001,-0.954900395667803,20,20,-0.73453876589831,HIGH,NORMAL,GAZOLE,Pont-Sainte-Marie,10150,10,44
10150002,-2.354900395667804,20,20,-1.8114618428213878,HIGH,NORMAL,GAZOLE,PONT-SAINTE-MARIE,10150,10,44
10150003,-4.7086389288275905,20,20,-3.6220299452519926,HIGH,NORMAL,GAZOLE,Charmont-sous-Barbuise,10150,10,44
10160001,-2.8322155741892376,20,20,-2.178627364760952,HIGH,NORMAL,GAZOLE,AIX-EN-OTHE,10160,10,44
10160002,1.6686396287624516,6,6,0.8343198143812258,LOW,PROVISIONAL,GAZOLE,VULAINES,10160,10,44
10170001,-1.7822155741892423,20,20,-1.370935057068648,HIGH,NORMAL,GAZOLE,MERY-SUR-SEINE,10170,10,44
10180001,-1.0852344882028437,20,20,-0.8347957601560336,HIGH,NORMAL,GAZOLE,SAINT-LYE,10180,10,44
10190001,4.766275252463571,16,16,3.466382001791688,MEDIUM,NORMAL,GAZOLE,ESTISSAC,10190,10,44
10200002,0.07425451175813402,20,20,0.05711885519856463,HIGH,NORMAL,GAZOLE,Bar-sur-Aube,10200,10,44
10200004,4.892629864703569,16,16,3.558276265238959,MEDIUM,NORMAL,GAZOLE,Bar-sur-Aube,10200,10,44
10200006,-0.33899478235097735,11,11,-0.2193495650506324,LOW,PROVISIONAL,GAZOLE,Bar-sur-Aube,10200,10,44
10210001,-0.13221557418922414,19,19,-0.10048383638381035,HIGH,NORMAL,GAZOLE,CHAOURCE,10210,10,44
10210002,-0.08899478235098268,18,18,-0.06674608676323701,HIGH,NORMAL,GAZOLE,CHAOURCE,10210,10,44
10230001,3.96336959394791,13,13,2.7117791958590964,MEDIUM,NORMAL,GAZOLE,MAILLY-LE-CAMP,10230,10,44
10230002,2.96336959394791,17,17,2.1903166563962815,MEDIUM,NORMAL,GAZOLE,Mailly-le-Camp,10230,10,44
10250001,5.161005217649016,18,18,3.8707539132367628,HIGH,NORMAL,GAZOLE,Mussy-sur-Seine,10250,10,44
10250002,1.9110052176490302,20,20,1.4700040135761772,HIGH,NORMAL,GAZOLE,Mussy-sur-Seine,10250,10,44
