date,fuel,stations,median_price_eur_l,median_price_age_days
2025-01-31,GAZOLE,9203,1.699,1.1612615740625
2025-01-31,SP95,3102,1.809,3.553385416655092
2025-02-28,GAZOLE,8822,1.682,0.9993055555439816
2025-02-28,SP95,2724,1.787,2.5322395833217595
2025-03-31,GAZOLE,9181,1.624,3.269849537025463
2025-03-31,SP95,3047,1.757,3.6548032407291666
2025-04-30,GAZOLE,9230,1.549,1.6564004629513889
2025-04-30,SP95,3068,1.699,5.629398148136573
2025-05-31,GAZOLE,8809,1.539,3.56381944443287
2025-05-31,SP95,2783,1.699,7.6828240740625
2025-06-30,GAZOLE,9260,1.639,2.6118287036921295
2025-06-30,SP95,3055,1.735,3.711608796284722
2025-07-31,GAZOLE,9025,1.629,1.6876157407291665
2025-07-31,SP95,2825,1.7,4.492800925914352
2025-08-31,GAZOLE,9118,1.584,2.678755787025463
2025-08-31,SP95,2802,1.702,4.748709490729167
2025-09-30,GAZOLE,9053,1.619,0.9993055555439816
2025-09-30,SP95,2808,1.729,4.617766203692129
2025-10-31,GAZOLE,9050,1.625,1.2215277777662037
2025-10-31,SP95,2744,1.709,2.723599537025463
2025-11-30,GAZOLE,9334,1.66,2.5733854166550927
2025-11-30,SP95,2959,1.73,4.630543981469907
2025-12-31,GAZOLE,9304,1.559,1.6353414351736109
2025-12-31,SP95,2916,1.674,5.532228009247685
2026-01-31,GAZOLE,9095,1.659,1.687499999988426
2026-01-31,SP95,2803,1.725,5.506307870358796
2026-02-28,GAZOLE,9082,1.699,1.645665509247685
2026-02-28,SP95,2786,1.759,2.9999999999884257
2026-03-31,GAZOLE,9426,2.254,1.3419212962847222
2026-03-31,SP95,3084,2.027,4.5714178240625
2026-04-30,GAZOLE,9451,2.2,1.0069444444328703
2026-04-30,SP95,3059,2.049,2.5069907407291665
2026-05-31,GAZOLE,9384,2.089,2.5015682870254627
2026-05-31,SP95,2976,2.079,3.2234953703587963
2026-06-30,GAZOLE,9477,1.869,1.510613425914352
2026-06-30,SP95,2963,1.943,4.687731481469907
2026-07-31,GAZOLE,9524,2.219,0.9993055555439816
2026-07-31,SP95,2943,2.069,2.5418865740625
2026-08-31,GAZOLE,9341,2.204,2.6117129629513887
2026-08-31,SP95,2747,2.079,4.602488425914352
